%time,field.header.stamp,field.header.frame_id,field.latitude,,,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1.61E+18,0,,42.2022686N,42.202268,71.05393,71.0539302W,9.8 m,330434.532,4674276.37,19,T
1.61E+18,0,,42.2022684N,42.202268,71.053929,71.0539297W,9.8 m,330434.5728,4674276.347,19,T
1.61E+18,0,,42.2022683N,42.202268,71.053929,71.0539291W,9.7 m,330434.622,4674276.334,19,T
1.61E+18,0,,42.2022682N,42.202268,71.053928,71.0539286W,9.6 m,330434.663,4674276.322,19,T
1.61E+18,0,,42.2022681N,42.202268,71.053928,71.0539286W,9.6 m,330434.6628,4674276.311,19,T
1.61E+18,0,,42.2022678N,42.202267,71.053928,71.0539285W,9.6 m,330434.6702,4674276.278,19,T
1.61E+18,0,,42.2022678N,42.202267,71.053928,71.0539282W,9.5 m,330434.695,4674276.277,19,T
1.61E+18,0,,42.2022678N,42.202267,71.053928,71.0539281W,9.5 m,330434.7033,4674276.277,19,T
1.61E+18,0,,42.2022678N,42.202267,71.053928,71.053928W,9.4 m,330434.7115,4674276.277,19,T
1.61E+18,0,,42.2022677N,42.202267,71.053927,71.0539277W,9.3 m,330434.736,4674276.265,19,T
1.61E+18,0,,42.2022678N,42.202267,71.053927,71.0539274W,9.2 m,330434.761,4674276.275,19,T
1.61E+18,0,,42.2022679N,42.202267,71.053927,71.0539273W,9.1 m,330434.7696,4674276.286,19,T
1.61E+18,0,,42.2022679N,42.202267,71.053926,71.0539269W,9.0 m,330434.8026,4674276.286,19,T
1.61E+18,0,,42.2022683N,42.202268,71.053926,71.0539269W,8.7 m,330434.8037,4674276.33,19,T
1.61E+18,0,,42.2022691N,42.202269,71.053927,71.0539275W,8.4 m,330434.7563,4674276.42,19,T
1.61E+18,0,,42.2022695N,42.202269,71.053928,71.0539282W,8.2 m,330434.6995,4674276.466,19,T
1.61E+18,0,,42.2022695N,42.202269,71.053928,71.0539288W,8.2 m,330434.65,4674276.467,19,T
1.61E+18,0,,42.2022696N,42.202269,71.053929,71.0539294W,8.2 m,330434.6007,4674276.479,19,T
1.61E+18,0,,42.2022697N,42.202269,71.053929,71.0539299W,8.2 m,330434.5597,4674276.491,19,T
