%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1614786011639511027,1,0,,42.2022686N,71.0539302W,9.8 m,330434.5320214096,4674276.369801207,19,T
1614786012639117795,2,0,,42.2022684N,71.0539297W,9.8 m,330434.57276644214,4674276.346598752,19,T
1614786013634161246,3,0,,42.2022683N,71.0539291W,9.7 m,330434.62203499,4674276.334301383,19,T
1614786014636359160,4,0,,42.2022682N,71.0539286W,9.6 m,330434.66304752877,4674276.322202914,19,T
1614786015635689602,5,0,,42.2022681N,71.0539286W,9.6 m,330434.66278002097,4674276.311098929,19,T
1614786016634236432,6,0,,42.2022678N,71.0539285W,9.6 m,330434.67023350904,4674276.277588072,19,T
1614786017635295432,7,0,,42.2022678N,71.0539282W,9.5 m,330434.6950015371,4674276.276991382,19,T
1614786018636753266,8,0,,42.2022678N,71.0539281W,9.5 m,330434.7032575465,4674276.276792485,19,T
1614786019637124478,9,0,,42.2022678N,71.053928W,9.4 m,330434.71151355584,4674276.276593588,19,T
1614786020641111829,10,0,,42.2022677N,71.0539277W,9.3 m,330434.73601407843,4674276.2648929125,19,T
1614786021637459245,11,0,,42.2022678N,71.0539274W,9.2 m,330434.76104961423,4674276.275400208,19,T
1614786022638876202,12,0,,42.2022679N,71.0539273W,9.1 m,330434.7695731312,4674276.286305299,19,T
1614786023641243034,13,0,,42.2022679N,71.0539269W,9.0 m,330434.8025971687,4674276.285509711,19,T
1614786024639468143,14,0,,42.2022683N,71.0539269W,8.7 m,330434.80366719904,4674276.329925655,19,T
1614786025641019788,15,0,,42.2022691N,71.0539275W,8.4 m,330434.75627120456,4674276.419950924,19,T
1614786026641101230,16,0,,42.2022695N,71.0539282W,8.2 m,330434.69954916905,4674276.465759148,19,T
1614786027641140549,17,0,,42.2022695N,71.0539288W,8.2 m,330434.650013112,4674276.466952528,19,T
1614786028641425531,18,0,,42.2022696N,71.0539294W,8.2 m,330434.6007445651,4674276.479249895,19,T
1614786029645108296,19,0,,42.2022697N,71.0539299W,8.2 m,330434.55973202735,4674276.491348364,19,T
1614786030643437934,20,0,,42.2022691N,71.0539304W,8.2 m,330434.5168469313,4674276.425718932,19,T
1614786031640978378,21,0,,42.2022656N,71.0539298W,8.2 m,330434.55702020996,4674276.035886036,19,T
1614786032638109508,22,0,,42.2022607N,71.053928W,8.2 m,330434.69252050837,4674275.488210572,19,T
1614786033639351410,23,0,,42.2022567N,71.0539265W,8.3 m,330434.8056603655,4674275.041067678,19,T
